0.300	0	10	0
0.305	0	4.8	0
0.310	0	2.7	0
0.315	0	1.35	0
0.320	0	0.8	0
0.325	0	0.38	0
0.330	0	0.16	0
0.335	0	0.075	0
0.340	0	0.04	0
0.345	0	0.019	0
0.350	0	0.007	0
0.360	0	0	0
0.370	0	0	0
0.380	0	0	0
0.390	0	0	0
0.400	0	0	0
0.410	0	0	0
0.420	0	0	0
0.430	0	0	0
0.440	0	0	0
0.450	0	0.003	0
0.460	0	0.006	0
0.470	0	0.009	0
0.480	0	0.014	0
0.490	0	0.021	0
0.500	0	0.03	0
0.510	0	0.04	0
0.520	0	0.048	0
0.530	0	0.063	0
0.540	0	0.075	0
0.550	0	0.085	0
0.570	0	0.12	0
0.593	0.075	0.119	0
0.610	0	0.12	0
0.630	0	0.09	0
0.656	0	0.065	0
0.668	0	0.051	0
0.690	0.016	0.028	0.15
0.710	0.0125	0.018	0
0.718	1.8	0.015	0
0.724	2.5	0.012	0
0.740	0.061	0.01	0
0.753	0.0008	0.008	0
0.758	0.0001	0.007	0
0.763	0.00001	0.006	4
0.768	0.00001	0.005	0.35
0.780	0.0006	0	0
0.800	0.036	0	0
0.816	1.6	0	0
0.824	2.5	0	0
0.832	0.5	0	0
0.840	0.155	0	0
0.860	0.00001	0	0
0.880	0.0026	0	0
0.905	7	0	0
0.915	5	0	0
0.925	5	0	0
0.930	27	0	0
0.937	55	0	0
0.948	45	0	0
0.965	4	0	0
0.980	1.48	0	0
0.994	0.1	0	0
1.040	0.00001	0	0
1.070	0.001	0	0
1.100	3.2	0	0
1.120	115	0	0
1.130	70	0	0
1.145	75	0	0
1.161	10	0	0
1.170	5	0	0
1.200	2	0	0
1.240	0.002	0	0.05
1.270	0.002	0	0.3
1.290	0.1	0	0.02
1.320	4	0	0.0002
1.350	200	0	0.00011
1.395	1000	0	0.00001
1.443	185	0	0.05
1.463	80	0	0.011
1.477	80	0	0.005
1.497	12	0	0.0006
1.520	0.16	0	0
1.539	0.002	0	0.005
1.558	0.0005	0	0.13
1.578	0.0001	0	0.04
1.592	0.00001	0	0.06
1.610	0.0001	0	0.13
1.630	0.001	0	0.001
1.646	0.01	0	0.0014
1.678	0.036	0	0.0001
1.740	1.1	0	0.00001
1.800	130	0	0.00001
1.860	1000	0	0.0001
1.920	500	0	0.001
1.960	100	0	4.3
1.985	4	0	0.2
2.005	2.9	0	21
2.035	1	0	0.13
2.065	0.4	0	1
2.100	0.22	0	0.08
2.148	0.25	0	0.001
2.198	0.33	0	0.00038
2.270	0.5	0	0.001
2.360	4	0	0.0005
2.450	80	0	0.00015
2.500	310	0	0.00014
2.600	15000	0	0.00066
2.700	22000	0	100
2.800	8000	0	150
2.900	650	0	0.13
3.000	240	0	0.0095
3.100	230	0	0.001
3.200	100	0	0.8
3.300	120	0	1.9
3.400	19.5	0	1.3
3.500	3.6	0	0.075
3.600	3.1	0	0.01
3.700	2.5	0	0.00195
3.800	1.4	0	0.004
3.900	0.17	0	0.29
4.000	0.0045	0	0.025
