0.300	535.9
0.305	558.3
0.310	622
0.315	692.7
0.320	715.1
0.325	832.9
0.330	961.9
0.335	931.9
0.340	900.6
0.345	911.3
0.350	975.5
0.360	975.9
0.370	1119.9
0.380	1103.8
0.390	1033.8
0.400	1479.1
0.410	1701.3
0.420	1740.4
0.430	1587.2
0.440	1837
0.450	2005
0.460	2043
0.470	1987
0.480	2027
0.490	1896
0.500	1909
0.510	1927
0.520	1831
0.530	1891
0.540	1898
0.550	1892
0.570	1840
0.593	1768
0.610	1728
0.630	1658
0.656	1524
0.668	1531
0.690	1420
0.710	1399
0.718	1374
0.724	1373
0.740	1298
0.753	1269
0.758	1245
0.763	1223
0.768	1205
0.780	1183
0.800	1148
0.816	1091
0.824	1062
0.832	1038
0.840	1022
0.860	998.7
0.880	947.2
0.905	893.2
0.915	868.2
0.925	829.7
0.930	830.3
0.937	814
0.948	786.9
0.965	768.3
0.980	767
0.994	757.6
1.040	688.1
1.070	640.7
1.100	606.2
1.120	585.9
1.130	570.2
1.145	564.1
1.161	544.2
1.170	533.4
1.200	501.6
1.240	477.5
1.270	442.7
1.290	440
1.320	416.8
1.350	391.4
1.395	358.9
1.443	327.5
1.463	317.5
1.477	307.3
1.497	300.4
1.520	292.8
1.539	275.5
1.558	272.1
1.578	259.3
1.592	246.9
1.610	244
1.630	243.5
1.646	234.8
1.678	220.5
1.740	190.8
1.800	171.1
1.860	144.5
1.920	135.7
1.960	123
1.985	123.8
2.005	113
2.035	108.5
2.065	97.5
2.100	92.4
2.148	82.4
2.198	74.6
2.270	68.3
2.360	63.8
2.450	49.5
2.500	48.5
2.600	38.6
2.700	36.6
2.800	32
2.900	28.1
3.000	24.8
3.100	22.1
3.200	19.6
3.300	17.5
3.400	15.7
3.500	14.1
3.600	12.7
3.700	11.5
3.800	10.4
3.900	9.5
4.000	8.6
